1719885060000,62933.26000000,62939.99000000,62933.26000000,62939.99000000,1.48133000,1719885119999,93230.60122200,225,0.61224000,38532.26295900,0
1719885120000,62939.99000000,62939.99000000,62936.23000000,62936.23000000,1.59731000,1719885179999,100532.79837810,267,0.14295000,8996.75470800,0
1719885180000,62936.24000000,62936.24000000,62930.21000000,62930.22000000,2.45819000,1719885239999,154703.56195600,173,0.27790000,17489.27507040,0
1719885240000,62930.22000000,62931.99000000,62921.29000000,62931.98000000,2.96511000,1719885299999,186577.66965520,352,1.35391000,85194.27942910,0
1719885300000,62931.99000000,62931.99000000,62928.65000000,62928.66000000,1.34785000,1719885359999,84821.74117130,189,0.36889000,23214.97046910,0
1719885360000,62928.65000000,62928.65000000,62902.00000000,62902.01000000,1.96916000,1719885419999,123895.28213430,402,0.25822000,16247.05333760,0
1719885420000,62902.01000000,62919.03000000,62902.00000000,62919.03000000,2.27498000,1719885479999,143119.37737620,349,1.96458000,123590.17698320,0
1719885480000,62919.02000000,62926.00000000,62919.02000000,62926.00000000,1.68584000,1719885539999,106073.70788640,214,1.58318000,99614.21763950,0
1719885540000,62926.00000000,62926.00000000,62925.99000000,62926.00000000,0.87561000,1719885599999,55098.63379370,98,0.76898000,48388.83548000,0
1719885600000,62926.00000000,62929.36000000,62925.99000000,62929.36000000,1.94741000,1719885659999,122545.82777520,416,1.27461000,80207.40814280,0
1719885660000,62929.36000000,62939.90000000,62929.35000000,62939.90000000,3.27395000,1719885719999,206048.99709580,337,2.94173000,185140.12847290,0
1719885720000,62939.89000000,62953.97000000,62939.89000000,62953.96000000,10.27921000,1719885779999,647082.71938920,1140,3.34056000,210278.42008740,0
1719885780000,62953.97000000,62953.97000000,62943.75000000,62943.76000000,8.80972000,1719885839999,554582.66792690,474,0.27152000,17090.62080900,0
1719885840000,62943.76000000,62952.87000000,62924.00000000,62952.86000000,13.62630000,1719885899999,857601.95724720,731,3.13408000,197259.71782240,0
1719885900000,62952.86000000,62965.12000000,62952.86000000,62965.12000000,1.01964000,1719885959999,64195.04811030,413,0.92867000,58467.64033460,0
1719885960000,62965.12000000,62965.12000000,62965.11000000,62965.11000000,3.77164000,1719886019999,237481.73029770,274,0.28173000,17739.16325760,0
